#           M   M*dndlnm_    dndlnm_j     f(sig)_  lnsigma_j    neff_j       ngtm_       nltm_   sigma_j
  1.00000e+08         nan         nan         nan  -1.667975 -2.497678         nan         nan  5.301423
  1.12202e+08         nan         nan         nan  -1.658321 -2.496114         nan         nan  5.250485
  1.25893e+08         nan         nan         nan  -1.648634 -2.494184         nan         nan  5.199874
  1.41254e+08         nan         nan         nan  -1.638908 -2.492042         nan         nan  5.149542
  1.58489e+08         nan         nan         nan  -1.629146 -2.490423         nan         nan  5.099516
  1.77828e+08         nan         nan         nan  -1.619347 -2.488223         nan         nan  5.049793
  1.99526e+08         nan         nan         nan  -1.609506 -2.486105         nan         nan  5.000339
  2.23872e+08         nan         nan         nan  -1.599629 -2.484275         nan         nan  4.951194
  2.51189e+08         nan         nan         nan  -1.589710 -2.481853         nan         nan  4.902327
  2.81838e+08         nan         nan         nan  -1.579747 -2.479823         nan         nan  4.853726
  3.16228e+08         nan         nan         nan  -1.569746 -2.477654         nan         nan  4.805427
  3.54813e+08         nan         nan         nan  -1.559698 -2.475072         nan         nan  4.757385
  3.98107e+08         nan         nan         nan  -1.549606 -2.473051         nan         nan  4.709612
  4.46684e+08         nan         nan         nan  -1.539471 -2.470523         nan         nan  4.662124
  5.01187e+08         nan         nan         nan  -1.529285 -2.467883         nan         nan  4.614878
  5.62341e+08         nan         nan         nan  -1.519055 -2.465714         nan         nan  4.567907
  6.30957e+08         nan         nan         nan  -1.508777 -2.462898         nan         nan  4.521197
  7.07946e+08         nan         nan         nan  -1.498444 -2.460284         nan         nan  4.474721
  7.94328e+08         nan         nan         nan  -1.488066 -2.457802         nan         nan  4.428521
  8.91251e+08         nan         nan         nan  -1.477633 -2.454737         nan         nan  4.382558
  1.00000e+09         nan         nan         nan  -1.467144 -2.452174         nan         nan  4.336831
  1.12202e+09         nan         nan         nan  -1.456606 -2.449278         nan         nan  4.291369
  1.25893e+09         nan         nan         nan  -1.446007 -2.446055         nan         nan  4.246126
  1.41254e+09         nan         nan         nan  -1.435352 -2.443404         nan         nan  4.201125
